rowid,permanent_identifier,comid,resolution,gnis_id,gnis_name,area_sq_km,reachcode,ftype,fcode,vpuid,data_group,dist_m,location_type,Station,Description,Channel,Slope,notes,dist_to_shore,Latitude,Longitude
458,{B483B704-53F3-41B5-B65A-401D555B16C8},41000300146803,2,00204950,Grand Lake,1.9529575,14010001023630,390,39009,1401,NW,NA,station,GL-NB,GrandLakeNB,N,West,manually added,389,40.2446,-105.8136
459,{B483B704-53F3-41B5-B65A-401D555B16C8},41000300146803,2,00204950,Grand Lake,1.9529575,14010001023630,390,39009,1401,NW,NA,station,GL-AR,GrandLakeAR,N,West,manually added,113,40.2386,-105.809
460,{B483B704-53F3-41B5-B65A-401D555B16C8},41000300146803,2,00204950,Grand Lake,1.9529575,14010001023630,390,39009,1401,NW,NA,station,GL-EI,GrandLakeEastInlet,N,West,manually added,136,40.2372,-105.8049
461,88894713,41000300145847,2,00202532,Lake Granby,28.63147574,14010001002895,436,43615,1401,NW,NA,station,GR-FAR,GranbyReservoirFarrPumpPlant,NA,NA,guess,345,40.175,-105.8697
462,88894713,41000300145847,2,00202532,Lake Granby,28.63147574,14010001002895,436,43615,1401,NW,NA,station,GR-PUMP,GranbyReservoirPUMP,NA,NA,guess,345,40.175,-105.8697
463,88894713,41000300145847,2,00202532,Lake Granby,28.63147574,14010001002895,436,43615,1401,NW,NA,station,GR-DAM,GranbyReservoirneartheDam,N,West,NA,189,40.1497,-105.8649
464,88894713,41000300145847,2,00202532,Lake Granby,28.63147574,14010001002895,436,43615,1401,NW,NA,station,GR-EAS,GranbyReservoirontheEastSide,N,West,NA,456,40.135,-105.7964
465,88894713,41000300145847,2,00202532,Lake Granby,28.63147574,14010001002895,436,43615,1401,NW,NA,station,GR-WES,GranbyReservoirontheWestSide,N,West,NA,345,40.175,-105.8697
466,88894713,41000300145847,2,00202532,Lake Granby,28.63147574,14010001002895,436,43615,1401,NW,NA,station,GR-N1,GranbyReservoirNorth,N,West,manually added,634,40.1766,-105.8773
467,{B483B704-53F3-41B5-B65A-401D555B16C8},41000300146803,2,00204950,Grand Lake,1.9529575,14010001023630,390,39009,1401,NW,NA,station,SM-CHL,ShadowMountainChannelinGrandLakeatchannelmouth,Y,West,NA,111,40.2445,-105.82470000000001
468,{B483B704-53F3-41B5-B65A-401D555B16C8},41000300146803,2,00204950,Grand Lake,1.9529575,14010001023630,390,39009,1401,NW,NA,station,GL-CHL,GrandLakeChannelMouthinGrandLake,Y,West,manually added,9,40.2446,-105.8259
469,88880859,41000300136226,2,00178135,Shadow Mountain Lake,5.32105345,14010001002847,436,43615,1401,NW,NA,station,SM-CMK,ShadowMountainChipmunkLane,Y,West,manually added,14,40.2461,-105.8279
470,88880859,41000300136226,2,00178135,Shadow Mountain Lake,5.32105345,14010001002847,436,43615,1401,NW,NA,station,SM-CEN,ShadowMountanCEN,NA,NA,guess,487,40.2321,-105.8419
471,88880859,41000300136226,2,00178135,Shadow Mountain Lake,5.32105345,14010001002847,436,43615,1401,NW,NA,station,SM-DAM,ShadowMountainReservoirneartheDam,N,West,NA,125,40.2101,-105.8421
